"State.Code","County.Code","Latitude","Longitude","Datum","Sample.Duration","Metric.Used","Units.of.Measure","Observation.Count","Observation.Percent","Arithmetic.Mean","Arithmetic.Standard.Dev","X50th.Percentile","GEOID","total_population","total_no_vehicle","total_carpool_vehicle","total_private_vehicle","total_public_transit","ppt","tmax","tmin","tmean"
"06","065",33.99958,-117.41601,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8651,99,27.160055,11.892334,28.3,"06065",2411439,14575,119702,790611,12639,455.592895507812,25.0380001068115,11.693699836731,18.3656997680664
"06","065",33.99958,-117.41601,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",5072,58,27.507042,12.904771,29,"06065",2411439,14575,119702,790611,12639,455.592895507812,25.0380001068115,11.693699836731,18.3656997680664
"06","065",33.99636,-117.4924,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8136,93,22.770501,11.249658,21,"06065",2411439,14575,119702,790611,12639,459.015899658203,25.2709999084473,11.546799659729,18.4086990356445
"06","065",33.67649,-117.33098,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8674,99,16.5,8.202347,16.4,"06065",2411439,14575,119702,790611,12639,528.90087890625,25.2060985565186,10.2221994400024,17.7139987945557
"06","067",38.613779,-121.368014,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",4418,50,10.328042,6.989225,9,"06067",1524553,16019,69407,532218,17063,721.783996582031,23.5970993041992,9.99199962615967,16.7943000793457
"06","067",38.56844,-121.49311,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8315,95,19.182451,13.670582,15.7,"06067",1524553,16019,69407,532218,17063,698.281860351562,23.4834995269775,9.88649940490723,16.6849002838135
"06","067",38.302591,-121.420838,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7421,85,8.625786,5.603196,7,"06067",1524553,16019,69407,532218,17063,537.381896972656,23.3811988830566,8.81799983978271,16.0994987487793
"06","067",38.683304,-121.164457,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",4679,53,4.975,3.395885,4,"06067",1524553,16019,69407,532218,17063,782.235961914062,23.5737991333008,9.68349933624268,16.6284999847412
"06","067",38.593322,-121.503795,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",6979,80,21.248299,10.303728,19,"06067",1524553,16019,69407,532218,17063,698.281860351562,23.4834995269775,9.88649940490723,16.6849002838135
"06","071",34.89405,-117.02471,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8271,94,33.935854,12.476587,36.8,"06071",2149031,15504,99623,720077,12532,189.176895141602,24.8576984405518,10.3688993453979,17.6131000518799
"06","071",34.06812,-117.52579,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8162,93,41.420354,12.962386,40.8,"06071",2149031,15504,99623,720077,12532,632.578979492188,25.2441997528076,12.4392995834351,18.8416004180908
